what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365870847449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365870849326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365870931759
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1365871132361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871133429
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365871134092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365871135586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871143269
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1365871147971
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1365871166784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871167626
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1365871167852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365871168904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871173625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871222857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871223088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871223283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871223467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871223657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871223827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871224016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365871241975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1365871267571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365871282069
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1365871374032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1365871374788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1365871377630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871379481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871385325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871398952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871421732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871476308
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365871497738
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1365871500322
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1365871500353
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1365871500453
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1365871500454
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1365871501384
started,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1365871501514
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1365871502070
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1365871502238
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365871502409
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1365871502559
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871502619
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871506896
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871509508
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871509509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871511161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871511680
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1365871511855
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871511860
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1365871513892
opened,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365871523198
opened,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.DeviceView",1365871523290
opened,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.ThreadView",1365871523347
activated,perspective,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.Perspective",1365871523381
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365871523386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1365871523412
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1365871523412
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.DeviceView",1365871524828
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1365871528074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871528900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871532281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871534641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871565465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871569400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871579159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871587056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871588047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871594895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871625483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871629222
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1365871629284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871629292
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1365871629336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871634849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871647264
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871651323
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365871651539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871654046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871660132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871662706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1365871662765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871664724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871672737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1365871672799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871674324
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1365871682081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871689419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871697537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1365871698747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871703359
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1365871703671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871705402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871711159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1365871713184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871720263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871722402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871727352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1365871728688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365871730315
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1365871732483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365871734402
